snowpit_id,weight_above_target_layer,bending_stiffness_above_target_layer,dataset
31301,112.25999999999999,983184908066.4039,All Layer of Concern
34238,126.19,2446656119310.5273,All Layer of Concern
26107,19.009999999999998,3102626563.798493,All Layer of Concern
28576,73.7,469681982691.941,All Layer of Concern
28095,83.29,254957367252.20816,All Layer of Concern
34181,15.149999999999999,1205091248.043653,All Layer of Concern
26870,87.78999999999999,441640614162.7117,All Layer of Concern
32591,9.719999999999999,233673751.95012715,All Layer of Concern
30846,30.599999999999998,26569208960.024414,All Layer of Concern
27271,209.04,5178837450163.865,All Layer of Concern
25618,70.89,459257524640.4546,All Layer of Concern
26511,25.0,7298374674.070567,All Layer of Concern
28356,38.31,23691749961.13788,All Layer of Concern
26985,42.230000000000004,21623926373.30892,All Layer of Concern
34074,132.45,1180869081506.0188,All Layer of Concern
26457,119.44,1112242872275.9905,All Layer of Concern
30182,25.25,5579126148.350246,All Layer of Concern
27667,34.77,11617084794.822906,All Layer of Concern
27517,22.520000000000003,10725358785.554314,All Layer of Concern
27588,40.400000000000006,27943594596.20277,All Layer of Concern
26771,20.7,1803150073.8628237,All Layer of Concern
34487,66.3,302288676375.7977,All Layer of Concern
26637,31.5,8912595514.866625,All Layer of Concern
33434,61.69,122917675712.9346,All Layer of Concern
29526,43.43,34465047204.02508,All Layer of Concern
30398,129.46,1417699093502.3938,All Layer of Concern
31357,102.81,557293950722.3951,All Layer of Concern
26960,91.16,452320288495.7939,All Layer of Concern
28466,19.41,6396069210.442276,All Layer of Concern
28716,47.52,35229095759.715355,All Layer of Concern
34328,84.31,400359152279.7454,All Layer of Concern
26826,4.859999999999999,29209218.993765894,All Layer of Concern
34420,21.69,6105872162.420563,All Layer of Concern
28534,24.3,3651152374.2207365,All Layer of Concern
28702,118.13,1281389624483.406,All Layer of Concern
28228,45.18,40507057506.94517,All Layer of Concern
33200,95.87,1135857887938.975,All Layer of Concern
25693,30.279999999999998,17101931776.419046,All Layer of Concern
30729,71.51,406667152491.39856,All Layer of Concern
29704,54.31,56450096499.841896,All Layer of Concern
29829,120.38,1369872527032.876,All Layer of Concern
32801,45.09,64235613469.54486,All Layer of Concern
29532,209.20999999999998,18072803901533.805,All Layer of Concern
34036,27.270000000000003,7028092158.590587,All Layer of Concern
26623,4.859999999999999,29209218.993765894,All Layer of Concern
26286,88.69,281860938083.8534,All Layer of Concern
30279,15.600000000000001,2418133888.0584598,All Layer of Concern
29548,6.9,66783336.0689935,All Layer of Concern
27139,102.39000000000001,1109195544867.974,All Layer of Concern
26214,29.64,16585980338.192972,All Layer of Concern
26022,68.85,149944864198.42215,All Layer of Concern
28665,100.95,724929357447.0375,All Layer of Concern
34292,18.6,1986767610.3979797,All Layer of Concern
27354,31.86,12166190349.59902,All Layer of Concern
29808,121.55000000000001,601532231623.0996,All Layer of Concern
32820,6.06,203536311.67958793,All Layer of Concern
30014,269.46000000000004,16393013506337.373,All Layer of Concern
28759,89.23,1029985183509.833,All Layer of Concern
31859,323.42999999999995,49062087549162.055,All Layer of Concern
28874,38.07,23066581198.267357,All Layer of Concern
31068,165.96,3005428531108.0083,All Layer of Concern
26869,31.15,13245907441.833065,All Layer of Concern
32588,98.7,627294151036.174,All Layer of Concern
27097,16.95,1974926962.8344746,All Layer of Concern
29872,114.63000000000001,794129948626.2902,All Layer of Concern
29796,57.45,77596825913.74214,All Layer of Concern
29105,45.900000000000006,51896141126.37477,All Layer of Concern
32413,54.800000000000004,87394193730.96982,All Layer of Concern
25565,16.439999999999998,2359643230.7361846,All Layer of Concern
30882,177.83,6502057081442.883,All Layer of Concern
31283,95.69,447735365326.81757,All Layer of Concern
31760,248.62,11420072134720.674,All Layer of Concern
26616,16.95,1120977590.8808746,All Layer of Concern
30831,97.13,624903985788.3503,All Layer of Concern
30977,35.79,49752480530.11771,All Layer of Concern
34553,40.2,25254356759.211723,All Layer of Concern
26988,72.72,106159450150.25288,All Layer of Concern
31230,62.41,80008478564.22646,All Layer of Concern
34623,39.57000000000001,51209270886.10423,All Layer of Concern
31710,35.5,14538398181.78065,All Layer of Concern
28810,116.5,1056756388448.9431,All Layer of Concern
33838,142.68,2080223356310.672,All Layer of Concern
34590,22.06,8851898479.019518,All Layer of Concern
28167,60.230000000000004,62883844912.331215,All Layer of Concern
30650,11.11,475252281.8210674,All Layer of Concern
25515,31.380000000000003,9672748848.15097,All Layer of Concern
30520,157.85000000000002,1855979217326.622,All Layer of Concern
26336,50.5,117787217407.16896,All Layer of Concern
33904,48.300000000000004,63128940591.800545,All Layer of Concern
30593,98.36999999999999,835905591139.9818,All Layer of Concern
27089,43.42,30812690328.367138,All Layer of Concern
30246,30.9,11601904597.819998,All Layer of Concern
29607,98.9,459441961131.59595,All Layer of Concern
30300,120.4,706242958147.9954,All Layer of Concern
30122,40.60000000000001,28406714024.90811,All Layer of Concern
30855,258.11,17121219326287.74,All Layer of Concern
30587,4.05,16903483.2139849,All Layer of Concern
31062,74.48,206296218951.64737,All Layer of Concern
28753,157.2,2999873507829.457,All Layer of Concern
26608,218.52000000000004,10668538176484.62,All Layer of Concern
29519,37.07000000000001,15260382081.699326,All Layer of Concern
25671,48.74999999999999,56910112441.073105,All Layer of Concern
29669,28.340000000000003,7545818547.635736,All Layer of Concern
33192,36.67,60656100374.55379,All Layer of Concern
28345,64.61999999999999,111718083212.20206,All Layer of Concern
34298,26.550000000000004,5281112329.535319,All Layer of Concern
27133,68.78999999999999,406322741834.19507,All Layer of Concern
29542,69.97999999999999,115280824098.9216,All Layer of Concern
30759,67.52,176186724658.58923,All Layer of Concern
28258,66.05,122781902184.96124,All Layer of Concern
26842,35.1,18412538436.002934,All Layer of Concern
28896,67.05,165708780169.93567,All Layer of Concern
26629,56.83,68527074266.00002,All Layer of Concern
31333,16.2,1081822925.6950336,All Layer of Concern
34516,44.35,33573118198.979073,All Layer of Concern
54761,147.9,2339291419861.5405,All Layer of Concern
29681,27.25,7318644075.504608,All Layer of Concern
26653,8.1,135227865.7118792,All Layer of Concern
28222,85.99,379013202144.26337,All Layer of Concern
33516,34.73,26800062986.156986,All Layer of Concern
31488,219.76,7726602851834.171,All Layer of Concern
27707,47.099999999999994,52781405172.169624,All Layer of Concern
27531,12.110000000000001,1307462027.0698578,All Layer of Concern
29006,317.33,33655578788116.04,All Layer of Concern
25534,92.47,656007631549.5012,All Layer of Concern
26584,11.340000000000002,371065263.51339656,All Layer of Concern
32781,106.4,429517033644.61,All Layer of Concern
29556,185.69,5653095693577.901,All Layer of Concern
29884,90.94,579015039210.3914,All Layer of Concern
27201,15.870000000000001,1956007094.1965327,All Layer of Concern
29500,48.87,92565518706.47852,All Layer of Concern
28395,61.519999999999996,236050628246.95493,All Layer of Concern
34281,38.93000000000001,27350972689.324802,All Layer of Concern
34248,20.25,2112935401.748112,All Layer of Concern
34138,6.92,243957929.24918628,All Layer of Concern
53790,28.28,7838270541.349418,All Layer of Concern
30761,187.95,3542371082093.188,All Layer of Concern
29099,115.93,1101527270524.6138,All Layer of Concern
31767,216.45000000000002,5346293174592.141,All Layer of Concern
31403,64.71000000000001,270500068385.3432,All Layer of Concern
25576,50.440000000000005,110912313996.19768,All Layer of Concern
31223,27.68,15613307471.947922,All Layer of Concern
33360,13.700000000000001,1365534277.0464034,All Layer of Concern
28381,41.56,52721476695.55168,All Layer of Concern
26355,13.26,2418309411.006382,All Layer of Concern
27165,14.58,788648912.8316792,All Layer of Concern
30155,58.63,75501391351.91983,All Layer of Concern
29387,155.18,3665664935111.783,All Layer of Concern
27353,11.3,585163544.5435482,All Layer of Concern
30822,169.11,2764371477095.557,All Layer of Concern
29722,53.56,69506021006.97832,All Layer of Concern
31108,20.41,3187815288.039293,All Layer of Concern
34031,54.800000000000004,87394193730.96982,All Layer of Concern
31087,68.32,145225300921.1372,All Layer of Concern
28852,119.66000000000001,2388563598461.9673,All Layer of Concern
34388,11.11,475252281.8210674,All Layer of Concern
32798,19.71,4389395786.134282,All Layer of Concern
27552,27.689999999999998,8435192271.355915,All Layer of Concern
29586,66.78999999999999,188926514707.61816,All Layer of Concern
29912,157.03,2509676651203.654,All Layer of Concern
26835,78.86000000000001,176748261265.76984,All Layer of Concern
31458,102.5,720844489343.8004,All Layer of Concern
31344,190.15,3198135593026.434,All Layer of Concern
28369,66.95,234836996818.82684,All Layer of Concern
27144,35.1,15718305140.672468,All Layer of Concern
29703,74.8,161722184782.60648,All Layer of Concern
32812,14.63,3003792229.800666,All Layer of Concern
27150,123.95,1477843669199.1414,All Layer of Concern
27961,76.9,235288334676.78513,All Layer of Concern
29651,26.26,6275758155.737852,All Layer of Concern
25680,30.14,14540208981.990103,All Layer of Concern
31216,162.27,4778094880489.475,All Layer of Concern
33213,22.55,5219215403.304424,All Layer of Concern
28527,48.85,50460473621.90431,All Layer of Concern
27546,5.050000000000001,44633009.18680198,All Layer of Concern
25656,62.33,123740011524.5606,All Layer of Concern
29364,113.00999999999999,1040552768903.3079,All Layer of Concern
28012,80.64000000000001,297070644561.5952,All Layer of Concern
28823,16.38,6127756632.8124485,All Layer of Concern
26655,17.020000000000003,2302180237.255228,All Layer of Concern
26463,18.630000000000003,1645317442.1164339,All Layer of Concern
28154,41.269999999999996,28022566547.569782,All Layer of Concern
32046,112.61999999999999,1092011288829.1613,All Layer of Concern
30043,64.86,116953425961.27945,All Layer of Concern
30569,46.879999999999995,38870376002.17713,All Layer of Concern
29291,2.07,1803150.073862824,All Layer of Concern
27135,55.5,149294922082.54797,All Layer of Concern
29402,33.45,12562736004.716932,All Layer of Concern
30619,56.13,98199066303.86948,All Layer of Concern
33330,15.93,3072854599.4365945,All Layer of Concern
28404,112.16,662487384969.9774,All Layer of Concern
31273,43.730000000000004,59972194681.81643,All Layer of Concern
28760,60.7,112018639586.86801,All Layer of Concern
33112,177.47,4424368856225.75,All Layer of Concern
31117,74.82,122025142029.47638,All Layer of Concern
31321,78.99000000000001,264458627090.35565,All Layer of Concern
30327,153.94,3429168593828.4995,All Layer of Concern
43213,209.04,5178837450163.865,All Layer of Concern
